2010-01-04	10583.96 10572.02 10573.68 10606.86 10618.19 10663.99 10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81
2010-01-05	10572.02 10573.68 10606.86 10618.19 10663.99 10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24
2010-01-06	10573.68 10606.86 10618.19 10663.99 10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90
2010-01-07	10606.86 10618.19 10663.99 10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35
2010-01-08	10618.19 10663.99 10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38
2010-01-11	10663.99 10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41
2010-01-12	10627.26 10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16
2010-01-13	10680.77 10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03
2010-01-14	10710.55 10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26
2010-01-15	10609.65 10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79
2010-01-19	10725.43 10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98
2010-01-20	10603.15 10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98 10396.76
2010-01-21	10389.88 10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98 10396.76 10444.14
2010-01-22	10172.98 10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98 10396.76 10444.14 10566.20
2010-01-25	10196.86 10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98 10396.76 10444.14 10566.20 10552.52
2010-01-26	10194.29 10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98 10396.76 10444.14 10566.20 10552.52 10564.38
2010-01-27	10236.16 10120.46 10067.33 10185.53 10296.85 10270.55 10002.18 10012.23 9908.39 10058.64 10038.38 10144.19 10099.14 10268.81 10309.24 10392.90 10402.35 10383.38 10282.41 10374.16 10321.03 10325.26 10403.79 10405.98 10396.76 10444.14 10566.20 10552.52 10564.38 10567.33
